cust_id,cust_name,cust_email,cust_phone,cust_addr,cust_city,cust_state,cust_country,cust_postal,cust_seg,acq_date,cust_status,ltv_calc,cust_rep,last_purch_dt
CUST00031,Fusion Technologies,fusion_technologies@business.net,+1-114-370-9791,9677 Washington Ln,Houston,UT,USA,8151,WHS,2022-11-25,Active,3254.53,REP030,2025-02-25
CUST00032,Nancy Adams,nadams#gmail.com,5247702622,6786 Pine St,Nashville,MS,USA,40947,EDU,2023-04-17,Inactive,34315.45,REP035,2023-08-14
CUST00033,Carol Thompson,carol.thompson@example.org,905-441-4990,3917 Elm Blvd,Washington,AL,USA,27038,RET,2021-05-05,Churned,8807.41,REP043,2023-07-29
CUST00034,William Smith,,6257072786,8354 Cedar St,Detroit,TX,USA,14082,SMB,2023-01-04,Active,42380.2,REP028,2025-03-22
CUST00035,Dorothy Rivera,riverad@company.com,9737704522,7498 Cedar Way,Austin,NJ,USA,50966,NPO,2023-06-28,Inactive,12819.0,REP010,2023-09-11
CUST00036,Donald Jones,djones@outlook.com,+1-462-994-7929,9937 Pine Ln,Houston,OR,USA,73201,STR,2021-07-06,Inactive,17570.69,REP036,2021-12-27
CUST00037,Timothy Moore,tmoore@example.org,129-284-5477,2447 Washington Ave,Phoenix,WV,USA,7737,NPO,2024-03-21,Active,17110.71,REP024,2024-07-14
CUST00038,Christopher Roberts,croberts@example.org,(777) 534-8957,4740 Lake Dr,Los Angeles,IA,USA,11007,STR,2024-03-08,Active,10640.58,REP009,2025-01-07
CUST00039,Charles Lee,leec@business.net,6895397626,4843 Oak Way,New York,MA,USA,70305,EDU,2021-09-03,Churned,42239.77,REP016,2021-09-18
CUST00040,Betty King,bking@example.org,459-844-3419,1334 Maple Pl,San Francisco,WI,USA,99277,WHS,2021-06-11,Churned,49327.94,REP021,2023-08-30
CUST00041,Kenneth Lee,leek@company.com,7609842479,7681 Hill St,San Francisco,OR,USA,72341,RET,2021-11-06,Active,3187.5,REP007,2024-04-24
CUST00042,Lisa Rivera,lisa.rivera@hotmail.com,1674372548,4755 Pine Blvd,Austin,CO,USA,55851,GOV,2021-06-22,Suspended,34954.15,REP026,2024-04-20
CUST00043,Acme Ltd,altd@example.org,118-471-6060,2353 Maple Ave,San Jose,CT,USA,79013,SMB,2023-02-11,Active,43832.0,REP040,2024-11-30
CUST00044,Omega Ventures,omega_ventures#yahoo.com,9552987026,7664 Pine Way,Indianapolis,ND,USA,36174,WHS,2022-01-06,Churned,12575.16,REP042,2022-12-11
CUST00045,Margaret Scott,margaret_scott@yahoo.com,(327) 936-8391,6242 Cedar St,Austin,CT,France,E1J 8W3,IND,2021-07-30,Active,362.03,REP006,2024-06-20
CUST00046,Pinnacle Systems,pinnacle.systems@outlook.com,164-213-9189,4872 Washington St,Washington,MN,USA,97080,ENT,2025-01-29,Pending,18094.13,REP034,2025-03-08
CUST00047,Steven Scott,sscott#hotmail.com,+1-890-695-6447,2968 Lake Pl,Boston,ID,Canada,O1J 4B4,SMB,2021-02-11,Churned,15572.79,REP026,2023-04-21
CUST00048,Paul Walker,walkerp@business.net,+1-447-291-9129,1453 Washington Ave,Columbus,RI,Mexico,K2C 6V5,GOV,2022-06-03,Inactive,35911.38,REP011,2022-08-16
CUST00049,Daniel Lewis,daniel_lewis@business.net,+1-135-229-2101,6372 Main Blvd,El Paso,NH,France,C3Q 6M6,GOV,2021-03-28,Churned,5761.09,REP048,2023-03-20
CUST00050,Catalyst Consulting,catalyst.consulting@outlook.com,+1-189-929-6236,5014 Maple Blvd,Jacksonville,NC,USA,28202,STR,2021-08-30,Churned,1411.57,REP036,2023-02-17
CUST00051,Ashley Scott,ashley_scott@company.com,228-424-2215,7188 Hill St,Houston,ND,USA,52291,STR,2021-09-23,Active,47051.11,REP019,2025-02-27
CUST00052,Thomas Gonzalez,thomas.gonzalez@company.com,(694) 257-3804,844 Pine Rd,Portland,OR,USA,75278,RET,2024-07-24,Pending,47836.84,REP031,2025-03-25
CUST00053,Omega Ventures,ventureso@company.com,(426) 851-6658,4482 Lake Rd,Phoenix,CT,USA,90658,NPO,2021-05-30,Inactive,43278.84,REP011,2021-09-29
CUST00054,Andrew Campbell,acampbell@hotmail.com,+1-149-151-5609,8893 Main Ave,Columbus,FL,France,L1M 1S9,STR,2022-10-03,Inactive,14501.22,REP025,2023-04-15
CUST00055,Timothy Scott,scottt@outlook.com,+1-511-612-1659,7861 Hill Pl,Phoenix,RI,Mexico,T6F 7T5,WHS,2022-07-27,Pending,41431.64,REP035,2024-11-18
CUST00056,Andrew Martin,amartin@hotmail.com,(371) 771-4728,9480 Oak Rd,New York,NH,USA,36724,NPO,2023-08-31,Churned,,REP031,2023-09-17
CUST00057,Deborah Campbell,deborah.campbell@company.com,462-792-5331,4976 Pine Rd,Nashville,VA,USA,83464,GOV,2021-05-08,Inactive,28716.49,REP035,2022-02-14
CUST00058,Betty Thompson,betty_thompson@outlook.com,675-812-5450,3914 Main Ave,Columbus,MI,USA,28018,SMB,2021-10-27,Inactive,48897.74,REP011,2023-06-13
CUST00059,Donald Walker,donald.walker@gmail.com,+1-137-956-7504,713 Main Dr,Denver,RI,USA,47298,IND,2024-08-25,Active,27210.69,REP032,2024-10-15
CUST00060,William Allen,william.allen@hotmail.com,(402) 6814164,3127 Maple Pl,Austin,KS,USA,68554,GOV,2023-08-17,Active,15167.1,REP047,2024-05-22
CUST00061,Thomas Adams,adamst@hotmail.com,5658657121,9098 Lake Rd,Portland,KS,USA,20730,RET,2023-01-07,Active,35217.93,REP005,2024-12-16
CUST00062,Linda Brown,lbrown@outlook.com,2356257806,9339 Main Pl,El Paso,MD,USA,10395,STR,2024-01-27,Active,2359.96,REP023,2024-10-11
CUST00063,Paul Brown,paul_brown@business.net,2212829802,8764 Maple Rd,New York,WI,USA,98276,RET,2021-05-22,Inactive,19025.9,REP015,2024-01-13
CUST00064,Vertex Holdings,vholdings@example.org,350-858-1724,8355 Pine Rd,Detroit,OR,USA,98150,EDU,2022-01-22,Inactive,43825.29,REP043,2022-09-10
CUST00065,Anthony Martin,anthony_martin@business.net,+1-485-288-9813,2465 Lake St,Seattle,NE,China,M4I 4K2,IND,2022-07-18,Inactive,4713.95,REP047,2022-09-18
CUST00066,Patricia Moore,patricia.moore@example.org,3488124350,4021 Hill Ln,Portland,ME,USA,57088,GOV,2023-02-12,Pending,25689.55,REP032,2025-01-01
CUST00067,George Walker,gwalker@example.org,6839535026,9121 Elm Dr,Portland,NY,Japan,X6F 3X9,IND,2022-10-18,Churned,44479.29,REP042,2023-05-14
CUST00068,Kimberly Williams,kimberly.williams@business.net,,6214 Main Pl,El Paso,NY,USA,63914,SMB,2021-06-02,Active,ERROR,REP035,2025-03-01
CUST00069,Mary Allen,mary.allen@gmail.com,373-914-7502,5014 Oak St,Chicago,MT,USA,17355,SMB,2024-11-30,Active,4226.04,REP028,2025-02-24
CUST00070,Lisa Torres,ltorres@business.net,1163123362,1360 Pine Blvd,Denver,KS,USA,98740,RET,2021-07-15,Active,37804.9,REP009,2024-06-30
CUST00071,Brian Campbell,campbellb@example.org,6023336829,7175 Maple Way,Chicago,WY,USA,19634,ENT,2021-06-10,Suspended,19062.0,REP041,2024-03-31
CUST00072,Omega Ventures,oventures@example.org,7117126315,302 Pine Way,Fort Worth,WY,USA,41816,WHS,2021-08-07,Inactive,34297.27,REP011,2022-02-10
CUST00073,Prime Industries,industriesp@gmail.com,,6324 Elm Pl,Austin,NV,Brazil,K4P 6F7,EDU,2021-10-26,Inactive,34778.39,REP032,2022-03-04
CUST00074,Sarah Lee,slee@yahoo.com,9389687703,2380 Pine Rd,Dallas,TX,USA,59412,ENT,2023-02-10,Churned,29936.9,REP038,2023-11-24
CUST00075,Steven Hall,shall@example.org,(354) 773-6816,272 Oak Dr,San Diego,NC,USA,85397,STR,2023-05-07,Active,19617.6,REP050,2024-11-13
CUST00076,Brian Allen,brian.allen@gmail.com,+1-587-199-8178,1200 Pine St,Nashville,DE,USA,24334,MID,2021-11-05,Inactive,37050.43,REP034,2023-10-12
CUST00077,Summit Enterprises,summit_enterprises@hotmail.com,,3332 Lake Way,Fort Worth,AL,USA,18200,WHS,2023-05-24,Active,43611.77,REP012,2024-09-08
CUST00078,Richard Robinson,rrobinson@company.com,(965) 568-3826,4008 Pine Ave,Philadelphia,MS,USA,64819,WHS,2021-08-22,Churned,19247.13,REP012,2023-02-10
CUST00079,Paul Hall,phall@yahoo.com,5188019056,7372 Lake Blvd,Chicago,OR,USA,48284,SMB,2024-08-14,Pending,26926.67,REP011,2024-09-27
CUST00080,Andrew Mitchell,amitchell@company.com,(551) 659-4580,7293 Oak Rd,San Antonio,WV,USA,89988,NPO,2023-10-12,Active,7047.82,REP014,2025-03-18
CUST00081,Patricia Torres,torresp@outlook.com,238-868-7743,,Portland,UT,USA,92890,GOV,2022-12-20,Active,18821.1,REP005,2024-06-17
CUST00082,Stephanie Garcia,sgarcia@outlook.com,848-569-6869,8205 Pine Ln,San Jose,MI,USA,73614,EDU,2023-04-06,Suspended,38136.48,REP003,2024-09-14
CUST00083,Spectrum Brands,brandss#business.net,770-469-5102,7132 Oak Ave,New York,IN,USA,39647,RET,2021-11-20,Active,563.42,REP045,2024-05-11
CUST00084,Linda Ramirez,ramirezl@gmail.com,892-932-3181,7310 Elm Rd,Boston,WV,USA,99989,IND,2024-11-22,Active,4425.73,REP007,2024-12-25
CUST00085,Global Solutions,solutionsg@gmail.com,310-630-9348,8208 Washington Ave,San Diego,NY,USA,11581,EDU,2023-02-26,Churned,6685.95,REP037,2024-02-20
CUST00086,Paul Baker,pbaker#gmail.com,393-743-9209,4646 Oak Dr,Chicago,NC,Mexico,M2J 7X4,SMB,2021-12-20,Active,46238.92,REP008,2024-08-10
CUST00087,Joshua Brown,jbrown@gmail.com,(455) 635-9474,580 Elm Way,Dallas,ND,USA,85582,ENT,2022-09-26,Suspended,25588.02,REP004,2024-08-08
CUST00088,Andrew Hernandez,ahernandez@business.net,,4106 Main Pl,Jacksonville,MO,Mexico,B9Z 7H6,STR,2023-01-24,Churned,36042.37,REP018,2023-07-04
CUST00089,Andrew White,awhite@example.org,435-188-8483,7700 Elm Pl,Portland,WY,USA,42129,MID,2021-09-02,Suspended,,REP015,2024-06-26
CUST00090,Kenneth Hall,kenneth.hall@business.net,+1-195-144-4792,7611 Oak Ave,Indianapolis,FL,USA,87580,WHS,2021-01-20,Inactive,ERROR,REP009,
CUST00091,Elite Services,eservices@yahoo.com,+1-648-466-4401,2064 Oak Blvd,El Paso,MD,Brazil,K3C,STR,2024-12-06,Suspended,19872.6,REP004,2025-03-22
CUST00092,Thomas Lopez,thomas.lopez@hotmail.com,(163) 950-4641,457 Oak Rd,Boston,NH,Canada,Z6D 1O1,MID,2021-03-05,Churned,21714.5,REP047,2023-06-11
CUST00093,Mary Harris,mharris@outlook.com,610-521-8848,8714 Cedar St,Fort Worth,VA,USA,73527,EDU,2024-10-31,Active,25169.42,REP025,2025-02-17
CUST00094,ABC Corp,abc.corp@outlook.com,372-646-1916,3975 Elm Ln,Denver,AK,USA,84403,WHS,2022-03-25,Churned,47423.59,REP032,2022-05-24
CUST00095,Susan Young,susan.young@hotmail.com,(448) 834-3907,8722 Elm Ave,Jacksonville,VA,Australia,K5K 3F7,IND,2021-03-19,Inactive,8792.71,REP036,2021-09-19
CUST00096,Michelle Thompson,michelle_thompson@gmail.com,7546792705,2404 Elm Ave,San Diego,MN,Mexico,C6O 1I4,STR,2022-04-03,Churned,17589.01,REP007,2023-03-28
CUST00097,Patricia Harris,pharris@hotmail.com,+1-918-966-1547,1815 Oak Ln,Philadelphia,MO,USA,22203,EDU,2023-06-17,Active,,REP031,2024-08-19
CUST00098,Sandra Adams,adamss@business.net,+1-257-155-6911,9933 Lake Rd,Houston,AK,USA,20739,IND,2021-12-04,Active,15486.83,REP026,2024-05-11
CUST00099,Kevin Taylor,ktaylor@hotmail.com,,9762 Cedar St,Fort Worth,ND,USA,72236,WHS,2021-07-06,Pending,23865.49,REP006,2025-02-09
CUST00100,Melissa Williams,melissa.williams@yahoo.com,(799) 5454308,6458 Hill Way,Seattle,MA,China,A9Z 7D7,MID,2023-10-26,Inactive,,REP049,2024-03-24
CUST00101,Michael Miller,michael_miller@business.net,382-512-3356,907 Lake Dr,Jacksonville,AK,USA,50756,GOV,2024-02-27,Active,42925.92,REP044,2024-04-18
CUST00102,Horizon Group,horizon_group@yahoo.com,4188269303,2322 Hill St,Philadelphia,IL,UK,H1O 1L4,GOV,2023-06-27,Active,23264.5,REP026,2024-05-20
CUST00103,Linda Baker,bakerl@company.com,391-128-7333,4508 Washington St,Portland,WY,USA,27342,MID,2021-03-04,Churned,522.34,REP017,2022-07-12
CUST00104,Nancy Rivera,nancy_rivera@yahoo.com,+1-623-778-7131,1871 Lake Ave,Austin,LA,USA,44229,GOV,2024-12-23,Active,25912.95,REP016,2025-03-15
CUST00105,Joshua Sanchez,,4518434643,5973 Hill Dr,Philadelphia,TX,Mexico,P3X 5X9,MID,2024-09-14,Suspended,44989.6,REP042,2024-12-04
CUST00106,Vertex Holdings,vholdings@hotmail.com,(697) 694-2166,2570 Maple Rd,Austin,NE,Japan,W3Y 2P6,MID,2022-09-21,Churned,2994.88,REP029,2023-11-25
CUST00107,Summit Enterprises,summit_enterprises@hotmail.com,,6212 Main Ln,Portland,ND,USA,92141,STR,2021-11-21,Active,43861.56,REP020,2024-08-19
CUST00108,Omega Ventures,ventureso@business.net,601-467-4087,3560 Main Blvd,Houston,MS,USA,59177,GOV,2022-09-19,Inactive,31194.43,REP039,2023-03-09
CUST00109,Kevin Miller,kevin_miller@outlook.com,7377203247,1818 Hill Ave,San Jose,DE,USA,89823,STR,2024-08-31,Active,41591.79,REP013,2024-09-05
CUST00110,Anthony Jackson,ajackson@hotmail.com,3627594787,4950 Pine Pl,Los Angeles,CT,USA,57214,EDU,2021-11-25,Churned,5883.46,REP049,2022-02-13
CUST00111,James Rodriguez,rodriguezj@business.net,(287) 216-7566,2271 Main Blvd,Houston,NE,Japan,V8F 7Y6,WHS,2024-09-20,Active,ERROR,REP047,2025-03-04
CUST00112,William Walker,william.walker@outlook.com,631-635-2560,9247 Main St,Boston,HI,USA,74990,MID,2023-09-27,Churned,,REP016,2024-01-20
CUST00113,Karen Brown,karen_brown@hotmail.com,(610) 557-6178,1589 Pine Rd,Boston,TX,USA,17113,STR,2023-11-05,Pending,16665.43,REP050,2024-06-20
CUST00114,Donald Rivera,riverad@gmail.com,(919) 398-9973,4266 Cedar Rd,Houston,MT,USA,34979,EDU,2024-09-07,Suspended,20782.07,REP041,2024-12-09
CUST00115,Donna Davis,ddavis@hotmail.com,(543) 958-8912,6447 Elm Way,Columbus,RI,UK,K5O 3E7,WHS,2023-07-12,Suspended,37446.5,REP020,2024-10-22
CUST00116,Emily Lee,emily.lee@outlook.com,+1-827-218-6771,7020 Main Ave,New York,MO,USA,36201,GOV,2024-12-28,Suspended,8130.68,REP019,2025-03-08
CUST00117,Elizabeth Brown,elizabeth.brown@hotmail.com,+1-809-780-1769,9146 Main St,Detroit,KY,USA,68073,STR,2024-11-15,Active,35260.99,REP042,2025-01-29
CUST00118,Donna Wright,dwright@outlook.com,(277) 852-9418,5515 Lake Blvd,Los Angeles,GA,Brazil,U5P 9L2,EDU,2025-02-21,Active,47853.69,REP034,2025-03-31
CUST00119,Catalyst Consulting,consultingc@outlook.com,(870) 733-9691,5358 Washington Ave,Fort Worth,KY,USA,77746,EDU,2024-01-18,Active,25485.91,REP032,2024-10-18
CUST00120,Pinnacle Systems,pinnacle.systems@gmail.com,955-206-4368,489 Lake Ln,Los Angeles,CO,USA,43018,RET,2021-06-18,Inactive,ERROR,REP017,2021-12-31
CUST00121,Mark Green,mgreen#business.net,7211885612,6349 Washington St,Charlotte,HI,USA,61248,RET,2023-04-09,Active,31738.88,REP020,2024-06-25
CUST00122,George Adams,,412-315-6633,4240 Cedar Ave,Philadelphia,TX,USA,81939,IND,2023-02-04,Inactive,3749.91,REP043,2023-02-15
CUST00123,Global Solutions,gsolutions@yahoo.com,+1-810-698-3496,7117 Maple St,Austin,KS,USA,93995,NPO,2024-04-04,Active,18038.35,REP044,
CUST00124,Donald Robinson,robinsond@gmail.com,9696191511,9767 Cedar St,Seattle,KY,USA,71879,MID,2023-07-02,Active,11243.0,REP050,2024-07-03
CUST00125,Charles Rodriguez,charles.rodriguez@business.net,4671414585,3896 Oak Dr,Jacksonville,IA,USA,57349,NPO,2023-08-10,Pending,22786.71,REP003,2025-01-04
CUST00126,Nexus Corporation,nexus_corporation@hotmail.com,4619366653,7998 Main Blvd,San Francisco,HI,USA,46806,STR,2023-12-04,Active,7952.13,REP039,2024-10-23
CUST00127,Linda Nelson,linda.nelson@hotmail.com,(520) 122-4992,2825 Pine Blvd,Indianapolis,MT,USA,12440,GOV,2022-04-17,Active,10908.01,REP039,2024-08-13
CUST00128,Donald Hernandez,hernandezd@company.com,710-704-2127,8664 Hill Way,Phoenix,RI,USA,90576,WHS,2022-03-26,Pending,ERROR,REP033,2024-07-14
CUST00129,Jennifer Walker,,,5842 Oak Way,Phoenix,KY,USA,20986,GOV,2024-09-12,Pending,27232.18,REP017,2024-10-15
CUST00130,ABC Corp,acorp@example.org,367-975-9783,6870 Hill Pl,Philadelphia,MS,USA,50193,WHS,2021-08-30,Active,,REP048,2024-07-29
CUST00131,Global Solutions,gsolutions@outlook.com,+1-714-545-2444,1411 Main Way,Fort Worth,SC,USA,88311,SMB,2023-07-04,Inactive,41029.41,REP041,2023-12-16
CUST00132,James Gonzalez,james.gonzalez@company.com,8985096785,,Detroit,VA,USA,47289,RET,2024-09-07,Pending,17469.95,REP018,2025-03-31
CUST00133,Pinnacle Systems,systemsp@company.com,+1-810-553-7178,7617 Lake St,Charlotte,DE,USA,38885,STR,2024-03-23,Churned,20680.06,REP023,2024-03-25
CUST00134,James Hall,james.hall@outlook.com,+1-610-854-4271,3487 Cedar Rd,San Diego,SC,USA,25712,ENT,2022-06-24,Churned,33204.86,REP040,2023-03-05
CUST00135,Precision Manufacturing,precision.manufacturing@example.org,+1-155-638-7933,6550 Maple Pl,Houston,VT,USA,11103,SMB,2023-01-31,Active,19033.46,REP007,
CUST00136,Michelle Taylor,michelle_taylor@yahoo.com,(529) 817-7099,4522 Cedar Way,Fort Worth,IL,USA,29601,IND,2022-01-19,Active,,REP032,2025-02-15
CUST00137,Catalyst Consulting,catalyst.consulting@gmail.com,,7907 Oak Pl,Detroit,MI,USA,83071,GOV,2022-10-09,Active,20646.87,REP023,2024-12-21
CUST00138,Joshua Gonzalez,joshua_gonzalez@outlook.com,7559276527,9465 Washington Ave,Chicago,HI,USA,95591,GOV,2024-03-27,Suspended,30308.71,REP026,2025-01-15
CUST00139,Spectrum Brands,brandss@business.net,(817) 867-2311,531 Washington Ave,Houston,KY,USA,61097,GOV,2024-04-17,Active,36905.9,REP029,2025-01-08
CUST00140,William King,kingw@hotmail.com,+1-746-866-8126,5788 Lake Rd,Chicago,NH,USA,30410,GOV,2021-12-16,Inactive,ERROR,REP049,2022-02-12
CUST00141,Daniel Jackson,daniel_jackson@gmail.com,5043553675,6299 Cedar Dr,Chicago,NV,USA,90375,GOV,2023-08-19,Active,37172.05,REP018,2025-02-16
CUST00142,Robert Lopez,robert.lopez@business.net,122-290-2675,1577 Maple St,Charlotte,IN,USA,75325,EDU,2021-10-07,Inactive,39592.09,REP022,2023-05-23
CUST00143,Tech Innovations,tinnovations@outlook.com,494-889-8257,7846 Washington Dr,Austin,HI,USA,8076,ENT,2023-03-15,Churned,31962.15,REP013,2023-05-27
CUST00144,Patricia Nelson,pnelson@yahoo.com,695-902-8786,2683 Lake Ave,El Paso,SC,USA,91937,SMB,2022-03-23,Inactive,ERROR,REP045,2022-11-09
CUST00145,Michael Rodriguez,michael.rodriguez@outlook.com,1405968168,9006 Elm Ln,Detroit,NJ,USA,82682,MID,2023-09-27,Active,,REP019,2024-05-22
CUST00146,Paul White,paul.white@example.org,+1-636-799-9151,5385 Washington Ln,Houston,CT,USA,27009,MID,2023-07-19,Churned,10183.74,REP032,2023-07-19
CUST00147,XYZ Inc,xinc@outlook.com,,8151 Oak Pl,Boston,AR,USA,64519,EDU,2023-03-07,Active,3009.17,REP040,2025-01-08
CUST00148,XYZ Inc,xyz.inc@yahoo.com,(772) 354-3931,2833 Maple Way,Indianapolis,MI,USA,88632,IND,2022-09-15,Inactive,45134.0,REP036,2022-12-03
CUST00149,Christopher White,christopher_white@yahoo.com,563-558-7505,5045 Main Dr,San Diego,IN,USA,46170,RET,2023-04-25,Active,28576.34,REP037,2025-02-01
CUST00150,XYZ Inc,xinc@yahoo.com,(682) 322-2264,9541 Washington Ave,Portland,AR,France,N7D 4X1,NPO,2021-11-16,Churned,ERROR,REP021,2022-08-26
CUST00151,Elizabeth Lee,elee@hotmail.com,(396) 905-7460,6629 Hill Way,Portland,VT,USA,83308,STR,2023-10-26,Active,32647.2,REP013,2024-06-08
CUST00152,Deborah King,deborah_king@gmail.com,452-708-1396,7316 Main Rd,San Antonio,UT,USA,21247,ENT,2022-05-20,Inactive,,REP040,2023-09-28
CUST00153,Charles Smith,charles.smith@yahoo.com,(635) 868-5237,4285 Maple St,San Jose,IL,USA,16957,IND,2022-12-05,Active,515.88,REP025,2024-11-14
CUST00154,Kevin Nelson,knelson@hotmail.com,+1-612-568-1352,5565 Lake Way,Detroit,HI,USA,56580,GOV,2023-01-08,Inactive,48914.39,REP033,2023-04-28
CUST00155,XYZ Inc,xyz_inc@gmail.com,527-346-3502,2370 Hill Rd,Phoenix,MD,USA,27727,NPO,2023-03-04,Churned,48791.27,REP010,2023-04-03
CUST00156,Andrew Hernandez,hernandeza@gmail.com,(523) 521-5970,4472 Cedar Rd,San Diego,UT,USA,72469,MID,2022-10-13,Inactive,,REP046,2022-12-21
CUST00157,Susan Harris,susan_harris@outlook.com,167-281-8197,7105 Washington St,Washington,WV,France,X9Q 1Q2,IND,2023-10-04,Active,43900.57,REP016,2025-01-31
CUST00158,Betty Mitchell,betty_mitchell@hotmail.com,8066293330,7500 Oak Ave,Philadelphia,WY,USA,81618,MID,2021-03-22,Active,16240.7,REP002,2024-05-07
